"operator","route","survey_name","survey_year","weekpart","first_after","first_before","intercept","second_after","second_before","third_after","third_before","survey_boardings"
"BART","Lake Merritt Fruitvale","BART",2015,"WEEKDAY",0,0,184.8941177865,0,0,0,0,202.07166609
"BART","Lake Merritt Glen Park","BART",2015,"WEEKDAY",0,0,62.79254663,0,0,0,0,64.956601324
"BART","Lake Merritt Hayward","BART",2015,"WEEKDAY",0,0,160.923803403,0,0,0,0,180.843653007
"BART","Lake Merritt Lafayette","BART",2015,"WEEKDAY",0,0,14.012166744,0,0,0,0,14.012166744
"BART","Lake Merritt MacArthur","BART",2015,"WEEKDAY",0,0,84.6067307005,0,0,0,0,98.57461415
"BART","Lake Merritt Millbrae","BART",2015,"WEEKDAY",0,0,16.592251338,0,0,0,0,26.55599266
"BART","Lake Merritt Montgomery St.","BART",2015,"WEEKDAY",0,0,985.878294575667,0,0,0,0,1040.592167279
"BART","Lake Merritt North Berkeley","BART",2015,"WEEKDAY",0,0,75.8677720815,0,0,0,0,77.766127007
"BART","Lake Merritt North Concord/Martinez","BART",2015,"WEEKDAY",0,0,23.47946902,0,0,0,0,23.47946902
"BART","Lake Merritt Oakland International Airport","BART",2015,"WEEKDAY",0,0,20.9133686275,0,0,0,0,24.248599933
"BART","Lake Merritt Orinda","BART",2015,"WEEKDAY",0,0,10.376275173,0,0,0,0,10.376275173
"BART","Lake Merritt Pittsburg/Bay Point","BART",2015,"WEEKDAY",0,0,54.470200588,0,0,0,0,59.293000993
"BART","Lake Merritt Pleasant Hill/Contra Costa Centre","BART",2015,"WEEKDAY",0,0,29.031195768,0,0,0,0,29.031195768
"BART","Lake Merritt Powell St.","BART",2015,"WEEKDAY",0,0,614.905742155,0,0,0,0,646.895031275
"BART","Lake Merritt Richmond","BART",2015,"WEEKDAY",0,0,52.433169024,0,0,0,0,57.153418641
"BART","Lake Merritt Rockridge","BART",2015,"WEEKDAY",0,0,45.58848661,0,0,0,0,45.58848661
"BART","Lake Merritt San Bruno","BART",2015,"WEEKDAY",0,0,23.00400628,0,0,0,0,23.00400628
"BART","Lake Merritt San Francisco Intl Airport","BART",2015,"WEEKDAY",0,0,33.573496465,0,0,0,0,43.980303806
"BART","Lake Merritt San Leandro","BART",2015,"WEEKDAY",0,0,286.107608411333,0,0,0,0,307.610411
"BART","Lake Merritt South Hayward","BART",2015,"WEEKDAY",0,0,99.658389495,0,0,0,0,100.979896239
"BART","Lake Merritt South San Francisco","BART",2015,"WEEKDAY",0,0,13.35490942,0,0,0,0,13.35490942
"BART","Lake Merritt Union City","BART",2015,"WEEKDAY",0,0,109.044408665,0,0,0,0,138.471532055
"BART","Lake Merritt Walnut Creek","BART",2015,"WEEKDAY",0,0,32.443340166,0,0,0,0,32.443340166
"BART","Lake Merritt West Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,87.960607599,0,0,0,0,87.960607599
"BART","Lake Merritt West Oakland","BART",2015,"WEEKDAY",0,0,50.566861219,0,0,0,0,50.566861219
"BART","MacArthur 12th St. Oakland City Center","BART",2015,"WEEKDAY",0,0,225.040012687667,0,0,0,0,252.610558936
"BART","MacArthur 16th St. Mission","BART",2015,"WEEKDAY",0,0,364.9714950145,0,0,0,0,388.648840449
"BART","MacArthur 19th St. Oakland","BART",2015,"WEEKDAY",0,0,149.8546695,0,0,0,0,203.260322994
"BART","MacArthur 24th St. Mission","BART",2015,"WEEKDAY",0,0,229.331530078333,0,0,0,0,235.549836943
"BART","MacArthur Ashby","BART",2015,"WEEKDAY",0,0,89.083006004,0,0,0,0,101.525280005
"BART","MacArthur Balboa Park","BART",2015,"WEEKDAY",0,0,79.276420424,0,0,0,0,84.912052358
"BART","MacArthur Bay Fair","BART",2015,"WEEKDAY",0,0,113.551043156333,0,0,0,0,127.479952126
"BART","MacArthur Castro Valley","BART",2015,"WEEKDAY",0,0,29.737397782,0,0,0,0,30.471568195
"BART","MacArthur Civic Center/UN Plaza","BART",2015,"WEEKDAY",0,0,746.981936705333,0,0,0,0,836.422871592
"BART","MacArthur Coliseum","BART",2015,"WEEKDAY",0,0,184.836724337,0,0,0,0,204.882489993
"BART","MacArthur Colma","BART",2015,"WEEKDAY",0,0,18.948588758,0,0,0,0,26.583961053
"BART","MacArthur Concord","BART",2015,"WEEKDAY",0,0,120.810548920333,0,0,0,0,149.39319093
"BART","MacArthur Daly City","BART",2015,"WEEKDAY",0,0,92.813124425,0,0,0,0,107.73426406
"BART","MacArthur Downtown Berkeley","BART",2015,"WEEKDAY",0,0,460.467227340667,0,0,0,0,497.823476868
"BART","MacArthur Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,38.7833095591667,0,0,0,0,66.774547114
"BART","MacArthur El Cerrito del Norte","BART",2015,"WEEKDAY",0,0,246.059978012167,0,0,0,0,304.715682048
"BART","MacArthur El Cerrito Plaza","BART",2015,"WEEKDAY",0,0,136.716515154,0,0,0,0,148.721949435
"BART","MacArthur Embarcadero","BART",2015,"WEEKDAY",0,0,1182.56567274183,0,0,0,0,1308.011992238
