"survey","survey_year","survey_name","canonical_name","canonical_operator","technology"
"AC Transit",2018,"ROUTE 36 - West Oakland BART/Bancroft/Berkeley [TO UC CAMPUS]","AC TRANSIT___36 West Oakland BART Bancroft Berkeley","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 45 - Eastmont T. C./Foothill Sq. [TO FOOTHILL SQUARE]","AC TRANSIT___45 Eastmont Transit Center to Foothill Square Oakland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 36 - West Oakland BART/Bancroft/Berkeley [TO WEST OAKLAND BART]","AC TRANSIT___36 West Oakland BART Bancroft Berkeley","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 210 - Union Landing - Frmt. Blvd. - Ohlone [TO OHLONE COLLEGE]","AC TRANSIT___210 Ohlone College to Union Landing Shopping Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 210 - Union Landing - Frmt. Blvd. - Ohlone [TO UNION LANDING]","AC TRANSIT___210 Ohlone College to Union Landing Shopping Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 21 - Fruitvale Ave/Alameda/Oakland Airport [TO OAKLAND AIRPORT]","AC TRANSIT___21 Dimond Dist to Oakland Airport","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 21 - Fruitvale Ave/Alameda/Oakland Airport [TO DIMOND DISTRICT]","AC TRANSIT___21 Dimond Dist to Oakland Airport","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 54 - Fruitvale Bart/Merritt College [TO MERRITT COLLEGE]","AC TRANSIT___54 Fruitvale BART to Merritt College","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 7 - D.NORTE BART/BERKELEY BART [TO E C DEL NORTE BART]","AC TRANSIT___7 El Cerrito del Norte BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 19 - Downtown Oakland - Fruitvale BART [TO FRUITVALE BART/COLISEUM BART]","AC TRANSIT___19 Downtown Oakland Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 90 - Coliseum Bart/85thAve/Foothill Sq [TO FOOTHILL SQUARE]","AC TRANSIT___90 Coliseum Bart 85thAve Foothill Sq","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 90 - Coliseum Bart/85thAve/Foothill Sq [TO COLISEUM BART]","AC TRANSIT___90 Coliseum Bart 85thAve Foothill Sq","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 7 - D.NORTE BART/BERKELEY BART [TO BERKELEY BART]","AC TRANSIT___7 El Cerrito del Norte BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 212 - Fremont BART-Newpark Mall-Pacific Commons [TO NEWPARK MALL/PACIFIC COMMONS]","AC TRANSIT___212 Fremont BART to NewPark Mall","AC TRANSIT","local bus"
