"","survey","survey_year","survey_name","canonical_name"
"92","AC Transit",2013,"Dumbarton Express Route DB1 Union City BART to Stanford Industrial Park","UNION CITY--- DB1 Union City BART to Stanford Industrial Park"
"93","AC Transit",2013,"AC Transit 48 - Bayfair BART- Castro Valley- Hayward bart","AC TRANSIT---48 Hayward BART to Bay Fair BART"
"94","AC Transit",2013,"AC Transit 67 - Berkeley Bart - Grizzly Peak Blvd.","AC TRANSIT---67 Berkeley Bart - Grizzly Peak Blvd."
"95","AC Transit",2013,"AC Transit 37 - HWD. BART-WHITMAN-SO. HWD. BART","AC TRANSIT---37 Hayward BART to South Hayward BART"
"96","AC Transit",2013,"VTA 140 Express","VTA---140 Express"
"97","AC Transit",2013,"Apple Shuttle (various)","Apple---Apple Shuttle"
"98","AC Transit",2013,"AC Transit 653 - MacArthur-Bdway/Montera","AC TRANSIT---653 MacArthur-Bdway/Montera"
"99","AC Transit",2013,"Wheels (LAVTA) 1 East Dublin/ Pleasanton","LAVTA---1 East Dublin/ Pleasanton"
"100","AC Transit",2013,"AC Transit 654 - Skyline H.S./35th Ave/Fruitvale Bart","AC TRANSIT---654 Skyline H.S./35th Ave/Fruitvale Bart"
"101","AC Transit",2013,"AC Transit E - San Francisco - Claremont -Parkwood","AC TRANSIT---E Caldecott Ln. Oakland"
"102","AC Transit",2013,"AC Transit 376 - North Richmond Shuttle","AC TRANSIT---376 El Cerrito Del Norte BART to Richmond Parkway Transit Center"
"103","AC Transit",2013,"MUNI 57-Parkmerced ","MUNI---57-Parkmerced "
"104","AC Transit",2013,"WestCAT JPX Express - Del Norte BART to Hercules Transit Center ","WESTCAT---WestCAT JPX Express - Del Norte BART to Hercules Transit Center "
"105","AC Transit",2013,"CALTRAIN","CALTRAIN---CALTRAIN"
"106","AC Transit",2013,"AC Transit 210 - Union Landing - Frmt. Blvd. - Ohlone","AC TRANSIT---210 Ohlone College to Union Landing Shopping Center"
"107","AC Transit",2013,"SamTrans 122 South San Francisco BART Stonestown","SAMTRANS---122 South San Francisco BART Stonestown"
