"","lat","lon"
"613",37.746891,-122.463378
"614",37.364021,-121.968259
"615",37.911693,-122.022954
"616",37.88965,-122.262644
"617",37.844429,-122.246157
"618",37.967818,-122.502592
"619",37.384625,-121.89673
"620",37.520713,-122.275574
"621",37.403555,-121.974058
"622",37.533023,-122.32655
"623",37.566341,-122.314441
"624",37.760509,-122.383626
"625",37.678652,-122.460477
"626",37.657914,-122.398917
"627",37.969117,-121.973108
"628",37.829387,-122.260605
"629",37.71881,-122.50035
"630",37.779543,-122.18085
"631",37.352822,-121.940336
"632",37.74887,-122.468563
"633",37.753395,-122.182066
"634",37.726252,-122.202541
"635",37.583025,-122.330702
"636",37.657655,-122.408204
"637",37.336433,-121.918071
"638",37.534487,-122.309989
"639",37.272043,-121.884798
"640",37.643304,-122.404372
"641",37.978234,-122.039735
"642",37.70165,-121.899181
"643",37.797443,-121.966096
"644",37.761826,-121.89057
"645",37.781423,-122.232623
"646",37.642762,-122.103659
"647",37.919921,-122.526143
"648",37.428919,-122.209704
"649",37.824093,-122.222739
"650",37.699878,-122.120972
"651",37.696341,-122.123442
"652",37.787736,-122.24314
"653",37.936818,-122.35279
"654",37.381651,-121.806992
"655",37.670001,-122.086754
"656",37.925331,-122.523676
"657",37.86835,-122.314096
"658",37.976592,-122.476594
"659",37.769029,-122.230221
"660",37.765328,-122.199525
"661",37.699757,-121.92826
"662",37.798245,-121.918449
"663",37.891506,-122.277124
"664",37.646477,-122.396793
"665",37.46589,-122.14145
"666",37.91848,-122.04038
"667",37.335166,-121.889854
"668",37.994299,-122.331657
"669",37.831499,-122.2541
"670",37.830373,-122.524399
"671",37.909918,-122.542342
"672",37.590323,-122.341419
"673",37.815591,-122.529564
